,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
demandNL-1,0.999153057707647,1.02410510845993,0.990723575556603,1.04795363385011,1.00804823095874,1.00426680895674,0.995600871298812,0.994024578258812,1.00557730921686,1.0102215103454,1.02848586757047,1.00272081981072,0.995220161279496,1.01843784573455,1.01334745774955,0.995771389297244,1.01077314277372,1.02545148828722,1.02443781691319,1.00266633799877,1.01306906283401,1.01089630186299,1.01338496040325,1.00927813046579,1.03191507383837,1.03837137785295,1.0065503950271,1.01277591351339,1.00178382396851,1.00642234794711,1.02273459218214,1.01830523245794,1.01187553454282,1.01446050363747,1.03068592865904,1.01738338570899,1.01439224087045,1.01607022807476,1.01194181451062,1.0177833862086,1.04535726091473,1.01918751796588,1.01990599867964,1.00539251161954,1.0047707926204,1.00964387157901,1.0063903850269,1.04575879328426,1.03418240769176,1.01245388140865
demandNL-2,1.0039693661859,1.01216226023429,1.0310733901811,1.01670410715138,1.00984000448057,1.01038420428647,1.00010026558514,1.00542591158107,1.01301355977925,1.01104396004089,1.00666224066095,1.02816719388974,1.00838555117709,1.04268416684375,1.03180646477528,1.00961896991823,1.01571356236529,1.00758493332458,1.02215418137069,0.994632696928921,1.03294827031378,1.02587751649464,1.01052572540065,1.03907133650397,1.00515341290005,1.02107119690912,1.00169283534352,1.00585001652114,1.01764531715632,1.02806462708563,1.02282387904817,1.00972278314782,1.02428797844759,1.04272923415959,1.00705519697007,1.01319004865522,1.01499956685507,1.03110471467811,1.01670003484397,1.01760583276255,1.0256995218336,0.994463060257878,1.02124862392666,1.03004478728142,1.01990712479827,1.03435538765372,1.02283902846243,1.01687766683632,1.03029216685627,1.03175001520878
demandNL-3,1.01904340341569,1.02375132904019,1.00568551963819,1.00329693866604,1.01966897703587,1.02016948406089,1.00149852322959,1.01968312588935,1.02502920519656,1.02574133296626,0.996136759380342,1.01997236224533,1.02487976380027,1.01946421163334,1.04451742803071,1.01235123271752,1.02195479870738,1.00845329585833,1.00911217304516,1.00193473055008,0.998502146044007,1.03910476040953,1.03566819886354,0.991308260469119,1.01501768292414,1.01643371524685,1.01256975493103,1.03193086677426,1.00340236089743,1.01219098122978,1.02941410514641,1.00859017488932,1.03190735292348,1.0334011519547,1.01145048487901,1.00699147421122,1.02251967496871,1.00964455710848,1.0286336213192,0.99997709977311,1.00567865890483,1.0080396622343,1.01234258687634,1.02405997384209,1.01855602803187,1.01811336690398,1.03213211612695,1.01811481371032,1.00957175459308,0.999886386890731
demandNL-4,1.00409570573828,1.00740623900929,1.01422991414513,1.01162629464686,1.01558827995443,0.996173045413152,0.995578635848274,0.998170131515466,1.00864607460873,1.00376713631446,1.02422153205452,1.0089384549324,1.01597088077339,1.00416049281971,1.00402883537917,0.99666208292082,1.00423926791191,1.0325722406565,1.00144699823148,1.0144155554,1.02519715479483,1.01637113332456,0.994426410369692,1.0012567199371,1.00698749809561,1.00604726348211,1.00336700173895,1.04400052254942,1.02779050612193,0.999493836471622,0.997354418469594,1.03504584945681,1.00881597934204,1.00687718097379,1.01303589405279,0.993550749096732,1.00994413350612,1.01222283642278,1.00416833589805,1.03818871739268,0.992747763349321,1.03454788419276,1.0116651028042,1.00820325595598,1.00301524183629,1.02904007693508,1.0329774131511,1.02083766471373,1.01618063437901,0.997257893066811
demandNL-5,1.00726604947708,1.03527639351218,1.03085467755277,1.0238187137046,0.991910621389269,1.03083566481463,1.0062286429474,1.03226533603367,1.0060883648481,1.0073140438737,1.00811884294395,1.01155971727717,1.00625591172167,1.0129233618488,1.01374581811875,1.02942829146131,1.04434782288174,1.01850912114379,0.99708928449905,1.0013239076498,1.02830158149695,0.994262237358026,1.02370677191122,1.0024072954981,1.01061195209428,1.02472282957823,1.03433478237087,1.00692433257298,1.00802532823537,1.00339341708092,1.02436356921335,1.01176627040424,1.01153264482691,0.994294737412325,1.00136291037306,1.00123151615927,1.03571239970578,1.02373202257629,1.02469341776586,1.02943589031873,1.00433747106663,1.02566912245508,1.00716341786082,1.0289312428691,1.03511099321159,0.994472039337574,1.02081884373812,1.03659009388231,1.00212633692353,1.02103054237073
demandNL-6,1.01205886877671,1.01358923176767,1.02411113102126,1.00897578028187,1.03290160044658,0.99367431306758,1.00476435819602,1.02604956980354,1.00395486476591,1.00866249104867,1.01076192790598,1.01396941389803,0.993417224310973,1.01474575814631,1.01567430111177,1.0079057855505,0.99495351768201,1.00231102827811,1.04088512786214,0.999584592411096,1.03211190387466,1.01695844100724,1.00332722195059,1.00314001374493,1.01171799603112,1.047590802949,1.01369916726283,1.01584948465721,1.02333232559598,1.0145459448835,1.00052800865582,1.0220616601189,1.00331114399593,1.02799868777977,1.00007189633187,1.02581250755078,1.03788858178005,1.00866191131092,0.998909708519257,1.02637462583682,1.00732359688001,1.04663430420714,0.995206979392462,1.02930166094737,1.00551223970684,1.00321474164121,1.02902414635867,1.02224814850907,1.03363044086134,1.02045513691066
demandNL-7,1.00671257341288,1.02811209298517,1.01963185386387,0.998151883884827,1.0172768739261,1.01618101900995,1.00088194282221,1.00605329674265,1.01539394019863,1.01204713193273,0.991141443355281,1.03214102489396,1.03340778361622,1.01005002869021,1.03639622941719,1.0253366198599,1.00777373051077,1.02645014182079,1.01883389905701,1.01154239363622,1.04146045464957,1.02638580424652,0.999784023518458,1.0110804599297,1.01957985928938,1.01680894757891,1.00628451473584,1.01598277950654,1.03922763556074,1.00557902765644,1.01189846207566,1.00159326123322,1.02417796143837,1.0245007962697,1.01364142559803,1.01797810995357,1.03184381880575,1.02373290592752,1.01525627026046,1.01854509677104,1.02858959884849,1.00113558087068,1.02979923199063,1.01212124032246,1.02856584244569,1.04420369012967,1.02088214370024,1.02735638574712,0.993226245810032,1.01606063570415
demandNL-8,1.00461809727327,0.99808801258602,1.00058745255862,1.00853354386057,1.00345496945383,0.99574741277337,0.996350256272018,1.02547886834664,1.00449377424495,1.03839712084323,0.997735465483545,1.00694266841335,1.02897446387877,1.00761155473318,1.04169825275376,1.00489440821299,1.03089920352318,1.04429826670056,1.01668201757797,1.00876574606743,1.04272467975993,1.03092214504114,1.0067158367777,1.03549426831709,1.007928481749,1.01228083604114,1.006861267928,1.02875389739886,1.0244157804782,1.01662211449368,1.01254621904816,1.009992528873,1.03332556545902,1.02037273614403,1.04186569125196,1.01776209222795,1.01795872048795,1.01103742413168,1.03160586531793,1.01441098173813,1.00541274388789,1.00982889720894,1.02491006537592,0.99992460271987,1.0323745287491,1.00759300771241,1.00888653076286,1.03350575496135,1.00356946691247,1.01417127735499
demandNL-9,0.99366910969186,1.03978498756995,0.996689348176104,1.01105634351709,1.00141670512057,1.02291817721521,1.01709576562813,1.02200780528113,1.01515129424999,1.00853461858096,0.999065490927717,1.03354257248533,1.01246823853862,1.00603038385517,1.02498948362535,1.0254355119205,0.998838150757858,0.999601767101743,1.00299362703315,1.01463352762279,1.02703013479128,1.01830983880419,1.0120061560972,0.998632296850096,1.0223984834689,1.00420076228863,1.01505500600991,1.03021652834449,1.01205973708948,1.00430619386734,1.0141118765801,1.02047342940197,1.02569637356232,1.0155421059429,1.0127380181182,1.00226520238358,1.03611397342043,1.01591667132332,1.02838470443709,1.03805045818026,1.00737457215853,1.04035932526194,1.00823434433243,1.03987854957183,1.01554169648768,1.01478008297124,1.03169568390798,1.00650425604378,1.03538419070306,1.00667115178038
demandNL-10,1.00793435487564,1.01658374149394,1.02080548487058,0.999202226345705,1.00396941533929,1.00815548389348,1.00039659140886,0.994193365240705,1.00213248900647,1.00245843397507,1.04205392724768,1.01580507957072,1.00140919473404,1.01876909315394,1.01129964827942,1.00528436542527,0.999586689924752,1.00506530327355,1.00867604358271,1.01452643212015,1.01747884364339,1.02589377362545,1.03153262955674,1.02018986897455,1.00144482819697,1.01790011395193,1.00415750046985,1.03669426919796,1.0213708905633,1.01119185974543,1.02182035348985,1.00821962474459,1.03894980772001,1.00885251188678,1.02165952895127,1.01998937901789,1.01509330172232,1.0286887275197,1.02502087936007,1.03322716409531,1.01861829274946,1.01882419920601,0.999932022767566,1.01120023435781,1.02220244702218,1.03801773587132,1.01981015889533,1.02876584702076,1.00600433115856,0.999023428930861
